question,topic,difficulty
Tell me about yourself and walk me through your academic and project background.,Introduction,easy
Why did you choose computer science / your field of study?,Introduction,easy
What are your top three strengths? Give an example for each.,Strengths & Weaknesses,easy
What is your biggest weakness and what have you done to improve it?,Strengths & Weaknesses,easy
Where do you see yourself five years from now?,Career Goals,easy
Describe a time you faced a challenging deadline and how you handled it.,Situational,medium
Tell me about a time you failed. What did you learn from it?,Failure / Learning,medium
Describe a situation where you went above and beyond what was expected.,Achievement,medium
Tell me about a time you disagreed with your manager or team lead. How did you resolve it?,Conflict Resolution,medium
Give an example of a time you had to quickly learn a new technology or tool.,Situational,medium
Describe a project where you had to work with an underperforming team member.,Teamwork,medium
Tell me about a time you had to manage multiple priorities simultaneously.,Situational,hard
Describe a situation where you showed leadership without having a formal leadership role.,Leadership,medium
Give an example of a time you received critical feedback. How did you respond?,Failure / Learning,medium
How do you handle conflict within a team?,Conflict Resolution,easy
Describe your ideal team. What role do you naturally take?,Teamwork,easy
Have you ever led a team project? What challenges did you face?,Leadership,medium
How do you motivate team members who are losing interest in a project?,Leadership,medium
Why do you want to work at our company specifically?,Company Fit,medium
What do you know about our products and what excites you about them?,Company Fit,medium
How does this role align with your career goals?,Career Goals,medium
What do you look for in a workplace culture?,Company Fit,easy
Are you comfortable working in a fast-paced startup environment?,Company Fit,easy
How do you handle working under pressure or tight deadlines?,Stress / Pressure,easy
Describe a stressful work/academic situation and how you managed it.,Stress / Pressure,medium
How do you prioritise tasks when everything feels urgent?,Situational,medium
What does integrity mean to you in a professional context?,Situational,easy
Have you ever had to make an ethical decision at work or college? What happened?,Situational,hard
Tell me about a time you took initiative without being asked.,Achievement,medium
What motivates you to do your best work every day?,Introduction,easy
How do you keep yourself updated with new technologies or industry trends?,Career Goals,easy
Do you prefer working independently or in a team? Why?,Teamwork,easy
What is the most impactful project you have worked on and why?,Achievement,medium
"If we hire you, what would you accomplish in your first 90 days?",Career Goals,hard
