question,option_A,option_B,option_C,option_D,correct,topic,difficulty,explanation
"What is the LCM of 12, 18, and 24?",36,48,72,144,C,Numbers,easy,"LCM(12,18,24): prime factorisation gives 2³×3²=72."
How many prime numbers are between 1 and 50?,12,13,15,16,C,Numbers,easy,"Primes up to 50: 2,3,5,7,11,13,17,19,23,29,31,37,41,43,47 — that is 15."
The HCF of 48 and 72 is?,12,18,24,36,C,Numbers,easy,48=2⁴×3; 72=2³×3². HCF=2³×3=24.
Which of these is divisible by 11?,246015,135792,246813,123456,A,Numbers,medium,"Alternating-digit sum rule: (2+6+1)-(4+0+5)=0, so 246015 is divisible by 11."
Sum of all even numbers from 1 to 100?,2450,2500,2550,2600,C,Numbers,medium,Sum = 2+4+…+100 = 2(1+2+…+50)=2×1275=2550.
A price is increased by 20% then decreased by 20%. Net change?,No change,-4%,+4%,-2%,B,Percentage,easy,"Net = 1.2×0.8=0.96, so a 4% decrease."
30% of 250 + 25% of 300 = ?,135,140,145,150,D,Percentage,easy,75+75=150.
What percent is 45 of 180?,20%,25%,30%,40%,B,Percentage,easy,45/180×100=25%.
A student scored 540 out of 720. Percentage?,70%,72%,75%,78%,C,Percentage,easy,540/720×100=75%.
"If X is 20% more than Y, by what percent is Y less than X?",16.67%,20%,25%,80%,A,Percentage,medium,"Y = X/1.2, so Y is 1/6 ≈ 16.67% less than X."
"Bought at ₹500, sold at ₹625. Profit %?",20%,25%,30%,15%,B,Profit and Loss,easy,Profit=125; 125/500×100=25%.
"SP=₹840, loss=16%. Find CP.",₹1000,₹960,₹900,₹1020,A,Profit and Loss,medium,CP=840/0.84=₹1000.
Marks 40% above CP and gives 10% discount. Profit %?,24%,26%,28%,30%,B,Profit and Loss,medium,SP=1.4×0.9×CP=1.26CP → 26% profit.
"Two items sold at ₹990 each. One at 10% profit, one at 10% loss. Net result?",No loss no gain,1% loss,1% gain,2% loss,B,Profit and Loss,hard,Net loss = (10)²/100 = 1%.
Average of first 20 odd numbers?,18,19,20,21,C,Average,easy,Average of first n odd numbers = n. Here n=20.
Average of 5 numbers is 27; excluding one makes avg 25. Excluded?,33,35,37,39,B,Average,medium,Total=135; remaining 4 sum=100; excluded=35.
A class of 30 students averages 55; another class of 20 averages 60. Combined average?,56,57,57.5,58,B,Average,medium,Combined=(30×55+20×60)/50=2850/50=57.
"A:B=3:4, B:C=6:7. Find A:B:C.",9:12:14,18:24:28,3:4:7,6:8:7,A,Ratio and Proportion,medium,Make B common → A:B:C=9:12:14.
Divide ₹1200 in ratio 3:4:5. Largest share?,₹300,₹400,₹500,₹600,C,Ratio and Proportion,easy,Largest=5/12×1200=₹500.
Mix ₹12/kg and ₹16/kg to get ₹14/kg. Ratio?,1:1,1:2,2:1,3:1,A,Mixture and Alligation,medium,By alligation: (16-14):(14-12)=2:2=1:1.
"40L mixture, milk:water=3:2. Add water to make 1:1. How much water?",4L,6L,8L,10L,C,Mixture and Alligation,medium,"Milk=24L, Water=16L. Need 24L water → add 8L."
"A finishes in 12 days, B in 15 days. Together?",6 days,6.5 days,6⅔ days,7 days,C,Time and Work,easy,Combined rate=1/12+1/15=3/20. Days=20/3=6⅔.
20 workers finish in 15 days. Workers needed for same job in 12 days?,22,24,25,30,C,Time and Work,medium,Work=300 man-days; 300/12=25 workers.
A can do a work in 10 days. B is 25% more efficient. Days B takes?,7,7.5,8,8.5,C,Time and Work,medium,B's rate=1.25×(1/10)=1/8. B takes 8 days.
"Pipe A fills in 6 hrs, B in 12 hrs. Together to fill?",3 hrs,4 hrs,4.5 hrs,5 hrs,B,Pipes and Cisterns,easy,Rate=1/6+1/12=1/4. Time=4 hrs.
"Inlet fills in 8 hrs, outlet drains in 12 hrs. Both open: fill time?",20 hrs,24 hrs,18 hrs,16 hrs,B,Pipes and Cisterns,medium,Net rate=1/8-1/12=1/24. Fill in 24 hrs.
Car travels 240 km in 4 hrs. Speed in m/s?,15 m/s,16⅔ m/s,20 m/s,60 m/s,B,Time Speed Distance,easy,60 km/h=16.67 m/s.
